beat,district,area_sq_mi,placename,population,category_name,total19,total20,total21,total22,NA,last12mos,total_prior3years,avg_prior3years,inc_19to21,inc_19tolast12,inc_21tolast12,inc_prior3yearavgtolast12,rate19,rate20,rate21,rate_last12,rate_prior3years
23J40,23,3.03933481,Intercontinental Airport,0,Assault,0,0,0,3,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA
23J50,23,2.12389492,Intercontinental Airport,0,Assault,33,21,37,21,0,0,91,30.3,12.1,-100,-100,-100,NA,NA,NA,NA,NA
1A10,1,1.74646692,Downtown Central Business District,17000,Assault,934,705,829,422,0,0,2468,822.7,-11.2,-100,-100,-100,5494.1,4147.1,4876.5,0,4839.4
1A20,1,2.44133075,"Fourth Ward, Avondale and Westmoreland",27000,Assault,668,660,783,391,0,0,2111,703.7,17.2,-100,-100,-100,2474.1,2444.4,2900,0,2606.3
1A30,1,2.65916892,"Cherryhurst, Mandell Place and Montrose",27000,Assault,405,448,418,210,0,0,1271,423.7,3.2,-100,-100,-100,1500,1659.3,1548.1,0,1569.3
1A40,1,2.45016686,"Tall Timbers, Royden Oaks, River Oaks, Avalon Place and Oak Estates",7000,Assault,37,31,42,18,0,0,110,36.7,13.5,-100,-100,-100,528.6,442.9,600,0,524.3
1A50,1,3.04553452,"Post Oak Park, Afton Oaks, Highland Village, Weslayan, Greenway Plaza and The Compaq Center",26000,Assault,322,435,458,233,0,0,1215,405,42.2,-100,-100,-100,1238.5,1673.1,1761.5,0,1557.7
2A10,2,3.30928608,Irvington and Ryon,18000,Assault,802,792,714,331,0,0,2308,769.3,-11,-100,-100,-100,4455.6,4400,3966.7,0,4273.9
2A20,2,1.8876461,"Sunset Heights, Brooksmith and Stude",11000,Assault,296,349,294,113,0,0,939,313,-0.7,-100,-100,-100,2690.9,3172.7,2672.7,0,2845.5
2A30,2,4.65858171,"Houston Heights, Norhill and Studemont",31000,Assault,341,311,320,144,0,0,972,324,-6.2,-100,-100,-100,1100,1003.2,1032.3,0,1045.2
2A40,2,1.60546103,Old Sixth Ward and the First Ward,8000,Assault,121,169,170,106,0,0,460,153.3,40.5,-100,-100,-100,1512.5,2112.5,2125,0,1916.3
2A50,2,5.4659844,"Memorial Park, West End, Ashbury and Cottage Grove",29000,Assault,396,374,481,206,0,0,1251,417,21.5,-100,-100,-100,1365.5,1289.7,1658.6,0,1437.9
2A60,2,4.67447346,"Westport, Holly Park, Lazy Brook, Citadel, Shady Acres and Timbergrove",21000,Assault,245,250,328,170,0,0,823,274.3,33.9,-100,-100,-100,1166.7,1190.5,1561.9,0,1306.2
3B10,3,6.82068773,"Northwest Mall, Brookhollow, White Oak Acres, Oak Forest and Langwood",34000,Assault,976,1109,1147,574,0,0,3232,1077.3,17.5,-100,-100,-100,2870.6,3261.8,3373.5,0,3168.5
