beat,district,area_sq_mi,placename,population,type,total19,total20,total21,total22,2023,last12mos,total_prior3years,avg_prior3years,inc_19to21,inc_19tolast12,inc_21tolast12,inc_prior3yearavgtolast12,rate19,rate20,rate21,rate_last12,rate_prior3years
23J40,23,3.03933481,Ellington Field,0,Property,4,2,2,2,0,2,8,2.7,-50,-50,0,-26,NA,NA,NA,NA,NA
23J50,23,2.12389492,Hobby Airport,0,Property,135,71,117,152,1,149,323,107.7,-13.3,10.4,27.4,38,NA,NA,NA,NA,NA
1A10,1,1.74646692,Downtown Central Business District,17000,Property,1740,1112,1255,1734,106,1789,4107,1369,-27.9,2.8,42.5,31,10235.3,6541.2,7382.4,10523.5,8052.9
1A20,1,2.44133075,"Fourth Ward, Avondale and Westmoreland",27000,Property,2893,2564,2712,2664,163,2695,8169,2723,-6.3,-6.8,-0.6,-1,10714.8,9496.3,10044.4,9981.5,10085.2
1A30,1,2.65916892,"Cherryhurst, Mandell Place and Montrose",27000,Property,2224,1600,1429,1724,101,1772,5253,1751,-35.7,-20.3,24,1,8237,5925.9,5292.6,6563,6485.2
1A40,1,2.45016686,"Tall Timbers, Royden Oaks, River Oaks, Avalon Place and Oak Estates",7000,Property,193,186,175,180,9,181,554,184.7,-9.3,-6.2,3.4,-2,2757.1,2657.1,2500,2585.7,2638.6
1A50,1,3.04553452,"Post Oak Park, Afton Oaks, Highland Village, Weslayan, Greenway Plaza and The Compaq Center",26000,Property,1898,1835,1747,2113,153,2184,5480,1826.7,-8,15.1,25,20,7300,7057.7,6719.2,8400,7025.8
2A10,2,3.30928608,Irvington and Ryon,18000,Property,709,748,710,893,47,908,2167,722.3,0.1,28.1,27.9,26,3938.9,4155.6,3944.4,5044.4,4012.8
2A20,2,1.8876461,"Sunset Heights, Brooksmith and Stude",11000,Property,432,429,453,468,22,472,1314,438,4.9,9.3,4.2,8,3927.3,3900,4118.2,4290.9,3981.8
2A30,2,4.65858171,"Houston Heights, Norhill and Studemont",31000,Property,1611,1164,1278,1531,59,1537,4053,1351,-20.7,-4.6,20.3,14,5196.8,3754.8,4122.6,4958.1,4358.1
2A40,2,1.60546103,Old Sixth Ward and the First Ward,8000,Property,676,659,660,657,44,660,1995,665,-2.4,-2.4,0,-1,8450,8237.5,8250,8250,8312.5
2A50,2,5.4659844,"Memorial Park, West End, Ashbury and Cottage Grove",29000,Property,2052,1682,1690,1878,112,1911,5424,1808,-17.6,-6.9,13.1,6,7075.9,5800,5827.6,6589.7,6234.5
