beat,district,area_sq_mi,placename,population,type,total19,total20,total21,total22,last12mos,total_prior3years,avg_prior3years,inc_19to21,inc_19tolast12,inc_21tolast12,inc_prior3yearavgtolast12,rate19,rate20,rate21,rate_last12,rate_prior3years
23J40,23,3.03933481,Ellington Field,0,Violent,0,0,0,3,3,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA
23J50,23,2.12389492,Hobby Airport,0,Violent,20,18,23,34,34,61,20.3,15,70,47.8,67,NA,NA,NA,NA,NA
1A10,1,1.74646692,Downtown Central Business District,17000,Violent,851,596,697,801,804,2144,714.7,-18.1,-5.5,15.4,12,5005.9,3505.9,4100,4729.4,4204.1
1A20,1,2.44133075,"Fourth Ward, Avondale and Westmoreland",27000,Violent,647,573,704,677,678,1924,641.3,8.8,4.8,-3.7,6,2396.3,2122.2,2607.4,2511.1,2375.2
1A30,1,2.65916892,"Cherryhurst, Mandell Place and Montrose",27000,Violent,388,361,302,357,357,1051,350.3,-22.2,-8,18.2,2,1437,1337,1118.5,1322.2,1297.4
1A40,1,2.45016686,"Tall Timbers, Royden Oaks, River Oaks, Avalon Place and Oak Estates",7000,Violent,30,23,34,32,32,87,29,13.3,6.7,-5.9,10,428.6,328.6,485.7,457.1,414.3
1A50,1,3.04553452,"Post Oak Park, Afton Oaks, Highland Village, Weslayan, Greenway Plaza and The Compaq Center",26000,Violent,284,335,363,372,373,982,327.3,27.8,31.3,2.8,14,1092.3,1288.5,1396.2,1434.6,1258.8
2A10,2,3.30928608,Irvington and Ryon,18000,Violent,743,702,579,554,557,2024,674.7,-22.1,-25,-3.8,-17,4127.8,3900,3216.7,3094.4,3748.3
2A20,2,1.8876461,"Sunset Heights, Brooksmith and Stude",11000,Violent,286,309,233,226,227,828,276,-18.5,-20.6,-2.6,-18,2600,2809.1,2118.2,2063.6,2509.1
2A30,2,4.65858171,"Houston Heights, Norhill and Studemont",31000,Violent,281,243,232,234,234,756,252,-17.4,-16.7,0.9,-7,906.5,783.9,748.4,754.8,812.9
2A40,2,1.60546103,Old Sixth Ward and the First Ward,8000,Violent,121,126,128,120,120,375,125,5.8,-0.8,-6.2,-4,1512.5,1575,1600,1500,1562.5
2A50,2,5.4659844,"Memorial Park, West End, Ashbury and Cottage Grove",29000,Violent,354,307,413,377,377,1074,358,16.7,6.5,-8.7,5,1220.7,1058.6,1424.1,1300,1234.5
2A60,2,4.67447346,"Westport, Holly Park, Lazy Brook, Citadel, Shady Acres and Timbergrove",21000,Violent,212,206,241,253,254,659,219.7,13.7,19.8,5.4,16,1009.5,981,1147.6,1209.5,1046.2
3B10,3,6.82068773,"Northwest Mall, Brookhollow, White Oak Acres, Oak Forest and Langwood",34000,Violent,957,1055,1016,1002,1007,3028,1009.3,6.2,5.2,-0.9,-0,2814.7,3102.9,2988.2,2961.8,2968.5
3B30,3,5.310372,"White Oak Acres, Brook Hollow, Oak Forest, Garden Oaks and Shepherd Park Plaza",23000,Violent,221,230,227,234,239,678,226,2.7,8.1,5.3,6,960.9,1000,987,1039.1,982.6
3B40,3,3.40013561,"Independence Heights, Melrose and Graceland",13000,Violent,651,659,619,545,545,1929,643,-4.9,-16.3,-12,-15,5007.7,5069.2,4761.5,4192.3,4946.2
3B50,3,3.85259517,"Northline Mall, Stratton Place, Oakwood, Colonial Gardens, Lindale and Junction City",20000,Violent,790,782,732,721,729,2304,768,-7.3,-7.7,-0.4,-5,3950,3910,3660,3645,3840
5F10,5,3.25978513,Afton Village and Pine Terrace,14000,Violent,292,248,287,306,310,827,275.7,-1.7,6.2,8,12,2085.7,1771.4,2050,2214.3,1969.3
5F30,5,8.70689439,"Fairbanks, Carverdale, Fawndale and Northwest Crossing",17000,Violent,686,719,737,709,710,2142,714,7.4,3.5,-3.7,-1,4035.3,4229.4,4335.3,4176.5,4200
6B10,6,5.50084827,"York Plaza, Pembrook Place and Hawthorne Place",33000,Violent,919,1001,1002,887,890,2922,974,9,-3.2,-11.2,-9,2784.8,3033.3,3036.4,2697,2951.5
6B20,6,6.12869477,"Highland Heights, Oakdale and Melrose Gardens",18000,Violent,783,822,669,613,614,2274,758,-14.6,-21.6,-8.2,-19,4350,4566.7,3716.7,3411.1,4211.1
6B30,6,7.2300685,"Woodland Trails, Oaks of Inwood, Bayou Bend, Cole Creek Manor and Inwood Forest",38000,Violent,1026,1071,887,869,873,2984,994.7,-13.5,-14.9,-1.6,-12,2700,2818.4,2334.2,2297.4,2617.6
6B40,6,5.544689,"Highland Gardens, Highland Heights and North Plaza",20000,Violent,914,1025,852,754,761,2791,930.3,-6.8,-16.7,-10.7,-18,4570,5125,4260,3805,4651.5
22B30,22,2.8264671,Aldine and Imperial Valley,19000,Violent,713,640,647,601,604,2000,666.7,-9.3,-15.3,-6.6,-9,3752.6,3368.4,3405.3,3178.9,3508.9
22B20,22,4.61158268,Greenspoint,24000,Violent,1488,1580,1388,1237,1240,4456,1485.3,-6.7,-16.7,-10.7,-17,6200,6583.3,5783.3,5166.7,6188.8
7C10,7,3.47828324,"Fifth Ward, North Park and Pinecrest",13000,Violent,647,674,563,639,645,1884,628,-13,-0.3,14.6,3,4976.9,5184.6,4330.8,4961.5,4830.8
7C20,7,7.08575157,"Huntington Place, Willshire Place, Kashmere Gardens and Liberty Gardens",21000,Violent,1437,1363,1250,1214,1221,4050,1350,-13,-15,-2.3,-10,6842.9,6490.5,5952.4,5814.3,6428.6
7C30,7,4.51719841,"Camden Woods, Archers Acres and Croyden Gardens",18000,Violent,697,770,800,646,647,2267,755.7,14.8,-7.2,-19.1,-14,3872.2,4277.8,4444.4,3594.4,4198.3
7C40,7,3.36786526,Keith-Weiss Park and Farrington Place,8000,Violent,246,225,219,209,212,690,230,-11,-13.8,-3.2,-8,3075,2812.5,2737.5,2650,2875
22B40,22,13.03325001,"Intercontinental Airport, Northwood, Lakeview Park and Glen Lee",11000,Violent,373,385,490,488,494,1248,416,31.4,32.4,0.8,19,3390.9,3500,4454.5,4490.9,3781.8
8C10,8,3.69037316,"Tidwell Park, Shady Oak and Buckingham Place",12000,Violent,761,817,711,714,719,2289,763,-6.6,-5.5,1.1,-6,6341.7,6808.3,5925,5991.7,6358.3
8C20,8,3.36154214,"Houston Gardens, Rosewood and Homestead",7000,Violent,281,312,297,259,259,890,296.7,5.7,-7.8,-12.8,-13,4014.3,4457.1,4242.9,3700,4238.6
8C30,8,4.6258259,"Parkhurst, East Houston and Clairmont Place",11000,Violent,378,499,419,385,390,1296,432,10.8,3.2,-6.9,-10,3436.4,4536.4,3809.1,3545.5,3927.3
8C40,8,4.97945551,"Lake Houston, Greenriver, Knoll and Lake Forest",8000,Violent,176,202,175,141,141,553,184.3,-0.6,-19.9,-19.4,-23,2200,2525,2187.5,1762.5,2303.8
8C50,8,3.31739498,"Park North, Forest Green, Kentshire Place, Glenwood Forest and Dorchester",8000,Violent,443,475,430,355,360,1348,449.3,-2.9,-18.7,-16.3,-20,5537.5,5937.5,5375,4500,5616.2
8C60,8,5.79693312,"Edgeworth, Northwood Manor and Scenic Woods",19000,Violent,639,713,545,541,545,1897,632.3,-14.7,-14.7,0,-14,3363.2,3752.6,2868.4,2868.4,3327.9
9C10,9,5.21185619,"Port of Houston, Clinton Park, Pleasantville and Fidelity Manor",6000,Violent,180,216,171,134,134,567,189,-5,-25.6,-21.6,-29,3000,3600,2850,2233.3,3150
9C20,9,7.5383173,Denver Harbor and Houston Harbor,16000,Violent,402,447,348,382,383,1197,399,-13.4,-4.7,10.1,-4,2512.5,2793.8,2175,2393.8,2493.8
9C30,9,8.13353768,"City Park East, Wynnewood Acres and Wallisville Gardens",9000,Violent,222,293,278,234,235,793,264.3,25.2,5.9,-15.5,-11,2466.7,3255.6,3088.9,2611.1,2936.7
9C40,9,10.42549456,"Greens Bayou Estates, Shady Brook, Northshore",23000,Violent,766,764,696,659,665,2226,742,-9.1,-13.2,-4.5,-10,3330.4,3321.7,3026.1,2891.3,3226.1
10H10,10,2.81830654,Oak Lawn and Ranger,11000,Violent,315,271,259,240,242,845,281.7,-17.8,-23.2,-6.6,-14,2863.6,2463.6,2354.5,2200,2560.9
10H20,10,1.75743169,Eastwood and Broadmoor,10000,Violent,190,200,197,220,221,587,195.7,3.7,16.3,12.2,13,1900,2000,1970,2210,1957
10H30,10,1.02691154,Near East End,4000,Violent,171,158,173,166,166,502,167.3,1.2,-2.9,-4,-1,4275,3950,4325,4150,4182.5
10H40,10,0.99627062,Midtown,8000,Violent,751,638,567,530,532,1956,652,-24.5,-29.2,-6.2,-18,9387.5,7975,7087.5,6650,8150
10H50,10,2.30843079,the University of Houston area,13000,Violent,753,691,609,583,588,2053,684.3,-19.1,-21.9,-3.4,-14,5792.3,5315.4,4684.6,4523.1,5263.8
10H60,10,3.08931006,"University Oaks, Riverside Terrace and the Texas Southern University area",20000,Violent,544,520,496,522,522,1560,520,-8.8,-4,5.2,0,2720,2600,2480,2610,2600
10H70,10,3.52217952,"Texas Medical Center, Hermann Park, Houston Zoo and Miller Outdoor Theatre",16000,Violent,421,435,458,429,433,1314,438,8.8,2.9,-5.5,-1,2631.2,2718.8,2862.5,2706.2,2737.5
10H80,10,2.73862779,"Southampton, Rice University area, Shadow Lawn and Broad Acres",19000,Violent,120,97,98,123,125,315,105,-18.3,4.2,27.6,19,631.6,510.5,515.8,657.9,552.6
11H10,11,5.31502815,"Mason Park, Forest Hill, Sunnyland and Central Park",28000,Violent,832,957,776,801,808,2565,855,-6.7,-2.9,4.1,-5,2971.4,3417.9,2771.4,2885.7,3053.6
11H20,11,3.9311161,"Harrisburg, Manchester and Pecan Park",18000,Violent,430,416,432,347,348,1278,426,0.5,-19.1,-19.4,-18,2388.9,2311.1,2400,1933.3,2366.7
11H30,11,2.84278059,Meadow Brook and Park Place,15000,Violent,404,481,409,444,445,1294,431.3,1.2,10.1,8.8,3,2693.3,3206.7,2726.7,2966.7,2875.3
11H40,11,6.14001938,Allendale and Oak Meadows,8000,Violent,107,142,119,118,119,368,122.7,11.2,11.2,0,-3,1337.5,1775,1487.5,1487.5,1533.8
11H50,11,2.09534157,"Meadow Creek, Ferndale Addition and Glenbrook Industrial",8000,Violent,147,189,195,166,166,531,177,32.7,12.9,-14.9,-6,1837.5,2362.5,2437.5,2075,2212.5
12D10,12,8.55384717,"Almeda Mall, Southridge, Edgebrook and South Houston Gardens",44000,Violent,1097,1337,1378,1227,1232,3812,1270.7,25.6,12.3,-10.6,-3,2493.2,3038.6,3131.8,2800,2888
