beat,district,area_sq_mi,placename,population,type,total19,total20,total21,total22,last12mos,total_prior3years,avg_prior3years,inc_19to21,inc_19tolast12,inc_21tolast12,inc_prior3yearavgtolast12,rate19,rate20,rate21,rate_last12,rate_prior3years
23J40,23,3.03933481,Ellington Field,0,Violent,0,0,0,2,2,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA
23J50,23,2.12389492,Hobby Airport,0,Violent,20,18,23,30,31,61,20.3,15,55,34.8,53,NA,NA,NA,NA,NA
1A10,1,1.74646692,Downtown Central Business District,17000,Violent,851,596,697,662,748,2144,714.7,-18.1,-12.1,7.3,5,5005.9,3505.9,4100,4400,4204.1
1A20,1,2.44133075,"Fourth Ward, Avondale and Westmoreland",27000,Violent,647,573,704,587,680,1924,641.3,8.8,5.1,-3.4,6,2396.3,2122.2,2607.4,2518.5,2375.2
1A30,1,2.65916892,"Cherryhurst, Mandell Place and Montrose",27000,Violent,388,361,302,295,338,1051,350.3,-22.2,-12.9,11.9,-4,1437,1337,1118.5,1251.9,1297.4
1A40,1,2.45016686,"Tall Timbers, Royden Oaks, River Oaks, Avalon Place and Oak Estates",7000,Violent,30,23,34,23,28,87,29,13.3,-6.7,-17.6,-3,428.6,328.6,485.7,400,414.3
1A50,1,3.04553452,"Post Oak Park, Afton Oaks, Highland Village, Weslayan, Greenway Plaza and The Compaq Center",26000,Violent,284,335,363,301,368,982,327.3,27.8,29.6,1.4,12,1092.3,1288.5,1396.2,1415.4,1258.8
2A10,2,3.30928608,Irvington and Ryon,18000,Violent,743,702,579,467,558,2024,674.7,-22.1,-24.9,-3.6,-17,4127.8,3900,3216.7,3100,3748.3
2A20,2,1.8876461,"Sunset Heights, Brooksmith and Stude",11000,Violent,286,309,233,179,219,828,276,-18.5,-23.4,-6,-21,2600,2809.1,2118.2,1990.9,2509.1
2A30,2,4.65858171,"Houston Heights, Norhill and Studemont",31000,Violent,281,243,232,195,223,756,252,-17.4,-20.6,-3.9,-12,906.5,783.9,748.4,719.4,812.9
2A40,2,1.60546103,Old Sixth Ward and the First Ward,8000,Violent,121,126,128,109,126,375,125,5.8,4.1,-1.6,1,1512.5,1575,1600,1575,1562.5
2A50,2,5.4659844,"Memorial Park, West End, Ashbury and Cottage Grove",29000,Violent,354,307,413,324,386,1074,358,16.7,9,-6.5,8,1220.7,1058.6,1424.1,1331,1234.5
2A60,2,4.67447346,"Westport, Holly Park, Lazy Brook, Citadel, Shady Acres and Timbergrove",21000,Violent,212,206,241,211,258,659,219.7,13.7,21.7,7.1,17,1009.5,981,1147.6,1228.6,1046.2
3B10,3,6.82068773,"Northwest Mall, Brookhollow, White Oak Acres, Oak Forest and Langwood",34000,Violent,957,1055,1016,864,1030,3028,1009.3,6.2,7.6,1.4,2,2814.7,3102.9,2988.2,3029.4,2968.5
3B30,3,5.310372,"White Oak Acres, Brook Hollow, Oak Forest, Garden Oaks and Shepherd Park Plaza",23000,Violent,221,230,227,194,241,678,226,2.7,9,6.2,7,960.9,1000,987,1047.8,982.6
3B40,3,3.40013561,"Independence Heights, Melrose and Graceland",13000,Violent,651,659,619,500,596,1929,643,-4.9,-8.4,-3.7,-7,5007.7,5069.2,4761.5,4584.6,4946.2
3B50,3,3.85259517,"Northline Mall, Stratton Place, Oakwood, Colonial Gardens, Lindale and Junction City",20000,Violent,790,782,732,587,692,2304,768,-7.3,-12.4,-5.5,-10,3950,3910,3660,3460,3840
5F10,5,3.25978513,Afton Village and Pine Terrace,14000,Violent,292,248,287,269,331,827,275.7,-1.7,13.4,15.3,20,2085.7,1771.4,2050,2364.3,1969.3
5F30,5,8.70689439,"Fairbanks, Carverdale, Fawndale and Northwest Crossing",17000,Violent,686,719,737,597,696,2142,714,7.4,1.5,-5.6,-3,4035.3,4229.4,4335.3,4094.1,4200
6B10,6,5.50084827,"York Plaza, Pembrook Place and Hawthorne Place",33000,Violent,919,1001,1002,723,888,2922,974,9,-3.4,-11.4,-9,2784.8,3033.3,3036.4,2690.9,2951.5
6B20,6,6.12869477,"Highland Heights, Oakdale and Melrose Gardens",18000,Violent,783,822,669,506,587,2274,758,-14.6,-25,-12.3,-23,4350,4566.7,3716.7,3261.1,4211.1
6B30,6,7.2300685,"Woodland Trails, Oaks of Inwood, Bayou Bend, Cole Creek Manor and Inwood Forest",38000,Violent,1026,1071,887,768,885,2984,994.7,-13.5,-13.7,-0.2,-11,2700,2818.4,2334.2,2328.9,2617.6
6B40,6,5.544689,"Highland Gardens, Highland Heights and North Plaza",20000,Violent,914,1025,852,614,717,2791,930.3,-6.8,-21.6,-15.8,-23,4570,5125,4260,3585,4651.5
22B30,22,2.8264671,Aldine and Imperial Valley,19000,Violent,713,640,647,538,634,2000,666.7,-9.3,-11.1,-2,-5,3752.6,3368.4,3405.3,3336.8,3508.9
22B20,22,4.61158268,Greenspoint,24000,Violent,1488,1580,1388,995,1191,4456,1485.3,-6.7,-20,-14.2,-20,6200,6583.3,5783.3,4962.5,6188.8
7C10,7,3.47828324,"Fifth Ward, North Park and Pinecrest",13000,Violent,647,674,563,580,683,1884,628,-13,5.6,21.3,9,4976.9,5184.6,4330.8,5253.8,4830.8
7C20,7,7.08575157,"Huntington Place, Willshire Place, Kashmere Gardens and Liberty Gardens",21000,Violent,1437,1363,1250,1055,1235,4050,1350,-13,-14.1,-1.2,-9,6842.9,6490.5,5952.4,5881,6428.6
7C30,7,4.51719841,"Camden Woods, Archers Acres and Croyden Gardens",18000,Violent,697,770,800,562,679,2267,755.7,14.8,-2.6,-15.1,-10,3872.2,4277.8,4444.4,3772.2,4198.3
7C40,7,3.36786526,Keith-Weiss Park and Farrington Place,8000,Violent,246,225,219,182,222,690,230,-11,-9.8,1.4,-3,3075,2812.5,2737.5,2775,2875
22B40,22,13.03325001,"Intercontinental Airport, Northwood, Lakeview Park and Glen Lee",11000,Violent,373,385,490,390,465,1248,416,31.4,24.7,-5.1,12,3390.9,3500,4454.5,4227.3,3781.8
8C10,8,3.69037316,"Tidwell Park, Shady Oak and Buckingham Place",12000,Violent,761,817,711,649,757,2289,763,-6.6,-0.5,6.5,-1,6341.7,6808.3,5925,6308.3,6358.3
8C20,8,3.36154214,"Houston Gardens, Rosewood and Homestead",7000,Violent,281,312,297,224,261,890,296.7,5.7,-7.1,-12.1,-12,4014.3,4457.1,4242.9,3728.6,4238.6
8C30,8,4.6258259,"Parkhurst, East Houston and Clairmont Place",11000,Violent,378,499,419,337,404,1296,432,10.8,6.9,-3.6,-6,3436.4,4536.4,3809.1,3672.7,3927.3
8C40,8,4.97945551,"Lake Houston, Greenriver, Knoll and Lake Forest",8000,Violent,176,202,175,126,141,553,184.3,-0.6,-19.9,-19.4,-23,2200,2525,2187.5,1762.5,2303.8
8C50,8,3.31739498,"Park North, Forest Green, Kentshire Place, Glenwood Forest and Dorchester",8000,Violent,443,475,430,323,387,1348,449.3,-2.9,-12.6,-10,-14,5537.5,5937.5,5375,4837.5,5616.2
8C60,8,5.79693312,"Edgeworth, Northwood Manor and Scenic Woods",19000,Violent,639,713,545,458,537,1897,632.3,-14.7,-16,-1.5,-15,3363.2,3752.6,2868.4,2826.3,3327.9
9C10,9,5.21185619,"Port of Houston, Clinton Park, Pleasantville and Fidelity Manor",6000,Violent,180,216,171,116,138,567,189,-5,-23.3,-19.3,-27,3000,3600,2850,2300,3150
9C20,9,7.5383173,Denver Harbor and Houston Harbor,16000,Violent,402,447,348,317,361,1197,399,-13.4,-10.2,3.7,-10,2512.5,2793.8,2175,2256.2,2493.8
9C30,9,8.13353768,"City Park East, Wynnewood Acres and Wallisville Gardens",9000,Violent,222,293,278,195,236,793,264.3,25.2,6.3,-15.1,-11,2466.7,3255.6,3088.9,2622.2,2936.7
9C40,9,10.42549456,"Greens Bayou Estates, Shady Brook, Northshore",23000,Violent,766,764,696,538,644,2226,742,-9.1,-15.9,-7.5,-13,3330.4,3321.7,3026.1,2800,3226.1
10H10,10,2.81830654,Oak Lawn and Ranger,11000,Violent,315,271,259,208,250,845,281.7,-17.8,-20.6,-3.5,-11,2863.6,2463.6,2354.5,2272.7,2560.9
10H20,10,1.75743169,Eastwood and Broadmoor,10000,Violent,190,200,197,195,226,587,195.7,3.7,18.9,14.7,15,1900,2000,1970,2260,1957
10H30,10,1.02691154,Near East End,4000,Violent,171,158,173,132,154,502,167.3,1.2,-9.9,-11,-8,4275,3950,4325,3850,4182.5
10H40,10,0.99627062,Midtown,8000,Violent,751,638,567,451,522,1956,652,-24.5,-30.5,-7.9,-20,9387.5,7975,7087.5,6525,8150
10H50,10,2.30843079,the University of Houston area,13000,Violent,753,691,609,502,599,2053,684.3,-19.1,-20.5,-1.6,-12,5792.3,5315.4,4684.6,4607.7,5263.8
10H60,10,3.08931006,"University Oaks, Riverside Terrace and the Texas Southern University area",20000,Violent,544,520,496,439,515,1560,520,-8.8,-5.3,3.8,-1,2720,2600,2480,2575,2600
10H70,10,3.52217952,"Texas Medical Center, Hermann Park, Houston Zoo and Miller Outdoor Theatre",16000,Violent,421,435,458,365,428,1314,438,8.8,1.7,-6.6,-2,2631.2,2718.8,2862.5,2675,2737.5
10H80,10,2.73862779,"Southampton, Rice University area, Shadow Lawn and Broad Acres",19000,Violent,120,97,98,101,114,315,105,-18.3,-5,16.3,9,631.6,510.5,515.8,600,552.6
11H10,11,5.31502815,"Mason Park, Forest Hill, Sunnyland and Central Park",28000,Violent,832,957,776,664,795,2565,855,-6.7,-4.4,2.4,-7,2971.4,3417.9,2771.4,2839.3,3053.6
11H20,11,3.9311161,"Harrisburg, Manchester and Pecan Park",18000,Violent,430,416,432,290,364,1278,426,0.5,-15.3,-15.7,-15,2388.9,2311.1,2400,2022.2,2366.7
11H30,11,2.84278059,Meadow Brook and Park Place,15000,Violent,404,481,409,376,443,1294,431.3,1.2,9.7,8.3,3,2693.3,3206.7,2726.7,2953.3,2875.3
11H40,11,6.14001938,Allendale and Oak Meadows,8000,Violent,107,142,119,97,110,368,122.7,11.2,2.8,-7.6,-10,1337.5,1775,1487.5,1375,1533.8
11H50,11,2.09534157,"Meadow Creek, Ferndale Addition and Glenbrook Industrial",8000,Violent,147,189,195,147,179,531,177,32.7,21.8,-8.2,1,1837.5,2362.5,2437.5,2237.5,2212.5
12D10,12,8.55384717,"Almeda Mall, Southridge, Edgebrook and South Houston Gardens",44000,Violent,1097,1337,1378,1023,1277,3812,1270.7,25.6,16.4,-7.3,0,2493.2,3038.6,3131.8,2902.3,2888
12D20,12,3.83700574,Sage,22000,Violent,359,427,375,309,358,1161,387,4.5,-0.3,-4.5,-7,1631.8,1940.9,1704.5,1627.3,1759.1
