category_name,month,count,rollavg_3month
Robbery,2019-01-01,764,NA
Robbery,2019-02-01,564,NA
Robbery,2019-03-01,660,663
Robbery,2019-04-01,727,650
Robbery,2019-05-01,864,750
Robbery,2019-06-01,754,782
Robbery,2019-07-01,837,818
Robbery,2019-08-01,822,804
Robbery,2019-09-01,713,791
Robbery,2019-10-01,732,756
Robbery,2019-11-01,863,769
Robbery,2019-12-01,900,832
Robbery,2020-01-01,916,893
Robbery,2020-02-01,723,846
Robbery,2020-03-01,684,774
Robbery,2020-04-01,574,660
Robbery,2020-05-01,691,650
Robbery,2020-06-01,743,669
Robbery,2020-07-01,734,723
Robbery,2020-08-01,694,724
Robbery,2020-09-01,695,708
Robbery,2020-10-01,735,708
Robbery,2020-11-01,764,731
Robbery,2020-12-01,863,787
Robbery,2021-01-01,798,808
Robbery,2021-02-01,649,770
Robbery,2021-03-01,606,684
Robbery,2021-04-01,585,613
Robbery,2021-05-01,743,645
Robbery,2021-06-01,592,640
Robbery,2021-07-01,655,663
Robbery,2021-08-01,632,626
Robbery,2021-09-01,590,626
Robbery,2021-10-01,635,619
Robbery,2021-11-01,609,611
Robbery,2021-12-01,708,651
Robbery,2022-01-01,685,667
Robbery,2022-02-01,516,636
Robbery,2022-03-01,575,592
Robbery,2022-04-01,572,554
Robbery,2022-05-01,665,604
Robbery,2022-06-01,640,626
Robbery,2022-07-01,650,652
Robbery,2022-08-01,661,650
Robbery,2022-09-01,533,615
Robbery,2022-10-01,631,608
