offense_type,nibrs_class,month,count,rollavg_3month
Aggravated Assault,13A,2019-01-01,1001,NA
Aggravated Assault,13A,2019-02-01,936,NA
Aggravated Assault,13A,2019-03-01,1191,1043
Aggravated Assault,13A,2019-04-01,1120,1082
Aggravated Assault,13A,2019-05-01,1357,1223
Aggravated Assault,13A,2019-06-01,1244,1240
Aggravated Assault,13A,2019-07-01,1286,1296
Aggravated Assault,13A,2019-08-01,1280,1270
Aggravated Assault,13A,2019-09-01,1366,1311
Aggravated Assault,13A,2019-10-01,1318,1321
Aggravated Assault,13A,2019-11-01,1248,1311
Aggravated Assault,13A,2019-12-01,1387,1318
Aggravated Assault,13A,2020-01-01,1290,1308
Aggravated Assault,13A,2020-02-01,1192,1290
Aggravated Assault,13A,2020-03-01,1491,1324
Aggravated Assault,13A,2020-04-01,1592,1425
Aggravated Assault,13A,2020-05-01,1898,1660
Aggravated Assault,13A,2020-06-01,1643,1711
Aggravated Assault,13A,2020-07-01,1702,1748
Aggravated Assault,13A,2020-08-01,1897,1747
Aggravated Assault,13A,2020-09-01,1587,1729
Aggravated Assault,13A,2020-10-01,1803,1762
Aggravated Assault,13A,2020-11-01,1627,1672
Aggravated Assault,13A,2020-12-01,1634,1688
Aggravated Assault,13A,2021-01-01,1605,1622
Aggravated Assault,13A,2021-02-01,1304,1514
Aggravated Assault,13A,2021-03-01,1530,1480
Aggravated Assault,13A,2021-04-01,1625,1486
Aggravated Assault,13A,2021-05-01,1796,1650
Aggravated Assault,13A,2021-06-01,1789,1737
Aggravated Assault,13A,2021-07-01,1794,1793
Aggravated Assault,13A,2021-08-01,1675,1753
Aggravated Assault,13A,2021-09-01,1586,1685
Aggravated Assault,13A,2021-10-01,1574,1612
Aggravated Assault,13A,2021-11-01,1354,1505
Aggravated Assault,13A,2021-12-01,1502,1477
Aggravated Assault,13A,2022-01-01,1517,1458
Aggravated Assault,13A,2022-02-01,1353,1457
Aggravated Assault,13A,2022-03-01,1495,1455
Aggravated Assault,13A,2022-04-01,1482,1443
Aggravated Assault,13A,2022-05-01,1720,1566
Aggravated Assault,13A,2022-06-01,1452,1551
Aggravated Assault,13A,2022-07-01,1533,1568
Aggravated Assault,13A,2022-08-01,1528,1504
Aggravated Assault,13A,2022-09-01,1455,1505
Aggravated Assault,13A,2022-10-01,1396,1460
Aggravated Assault,13A,2022-11-01,1336,1396
Aggravated Assault,13A,2022-12-01,573,1102
All other larceny,23H,2019-01-01,1593,NA
All other larceny,23H,2019-02-01,1422,NA
All other larceny,23H,2019-03-01,1539,1518
All other larceny,23H,2019-04-01,1474,1478
All other larceny,23H,2019-05-01,1738,1584
All other larceny,23H,2019-06-01,1604,1605
All other larceny,23H,2019-07-01,1574,1639
All other larceny,23H,2019-08-01,1671,1616
All other larceny,23H,2019-09-01,1430,1558
All other larceny,23H,2019-10-01,1511,1537
All other larceny,23H,2019-11-01,1424,1455
All other larceny,23H,2019-12-01,1542,1492
All other larceny,23H,2020-01-01,1330,1432
All other larceny,23H,2020-02-01,1243,1372
All other larceny,23H,2020-03-01,1332,1302
All other larceny,23H,2020-04-01,1294,1290
All other larceny,23H,2020-05-01,1446,1357
All other larceny,23H,2020-06-01,1662,1467
All other larceny,23H,2020-07-01,1582,1563
All other larceny,23H,2020-08-01,1670,1638
All other larceny,23H,2020-09-01,1532,1595
All other larceny,23H,2020-10-01,1635,1612
All other larceny,23H,2020-11-01,1528,1565
All other larceny,23H,2020-12-01,1580,1581
All other larceny,23H,2021-01-01,1492,1533
All other larceny,23H,2021-02-01,1270,1447
All other larceny,23H,2021-03-01,1546,1436
All other larceny,23H,2021-04-01,1500,1439
All other larceny,23H,2021-05-01,1471,1506
All other larceny,23H,2021-06-01,1445,1472
All other larceny,23H,2021-07-01,1287,1401
All other larceny,23H,2021-08-01,1234,1322
All other larceny,23H,2021-09-01,1347,1289
All other larceny,23H,2021-10-01,1478,1353
All other larceny,23H,2021-11-01,1363,1396
All other larceny,23H,2021-12-01,1388,1410
All other larceny,23H,2022-01-01,1459,1403
All other larceny,23H,2022-02-01,1281,1376
All other larceny,23H,2022-03-01,1464,1401
All other larceny,23H,2022-04-01,1585,1443
All other larceny,23H,2022-05-01,1711,1587
All other larceny,23H,2022-06-01,1574,1623
