category_name,month,count,rollavg_3month
Assault,2019-01-01,4483,NA
Assault,2019-02-01,4431,NA
Assault,2019-03-01,5168,4694
Assault,2019-04-01,5220,4940
Assault,2019-05-01,5596,5328
Assault,2019-06-01,5209,5342
Assault,2019-07-01,5368,5391
Assault,2019-08-01,5349,5309
Assault,2019-09-01,5255,5324
Assault,2019-10-01,5347,5317
Assault,2019-11-01,4844,5149
Assault,2019-12-01,5199,5130
Assault,2020-01-01,5035,5026
Assault,2020-02-01,4801,5012
Assault,2020-03-01,5603,5146
Assault,2020-04-01,5514,5306
Assault,2020-05-01,6433,5850
Assault,2020-06-01,5851,5933
Assault,2020-07-01,5735,6006
Assault,2020-08-01,6226,5937
Assault,2020-09-01,5851,5937
Assault,2020-10-01,6216,6098
Assault,2020-11-01,5741,5936
Assault,2020-12-01,5632,5863
Assault,2021-01-01,5590,5654
Assault,2021-02-01,4797,5340
Assault,2021-03-01,5476,5288
Assault,2021-04-01,5702,5325
Assault,2021-05-01,6241,5806
Assault,2021-06-01,5900,5948
Assault,2021-07-01,5868,6003
Assault,2021-08-01,5835,5868
Assault,2021-09-01,5762,5822
Assault,2021-10-01,5742,5780
Assault,2021-11-01,4967,5490
Assault,2021-12-01,5425,5378
Assault,2022-01-01,5316,5236
Assault,2022-02-01,4776,5172
Assault,2022-03-01,5541,5211
Assault,2022-04-01,5655,5324
Assault,2022-05-01,6004,5733
Assault,2022-06-01,5501,5720
Assault,2022-07-01,5509,5671
Assault,2022-08-01,5613,5541
Assault,2022-09-01,5639,5587
Assault,2022-10-01,5405,5552
Assault,2022-11-01,4895,5313
Assault,2022-12-01,4415,4905
Assault,2023-01-01,5117,4809
Assault,2023-02-01,4684,4739
Assault,2023-03-01,5511,5104
Assault,2023-04-01,5488,5228
Assault,2023-05-01,5811,5603
Assault,2023-06-01,5343,5547
Assault,2023-07-01,5626,5593
Assault,2023-08-01,5433,5467
Assault,2023-09-01,5393,5484
Assault,2023-10-01,5158,5328
Assault,2023-11-01,4820,5124
Assault,2024-01-01,590,3523
Assault,2024-02-01,4634,3348
Assault,2024-03-01,5115,3446
