premise,total19,total20,total21,total22,projected22
Amusement Park,NA,NA,1,NA,NA
"Bank, Savings & Loan",NA,NA,2,1,6
"Bar, Nightclub",7,5,8,2,12
"Church, Synagogue, Temple",NA,1,2,NA,NA
"Commercial, Office Building",5,5,2,NA,NA
Convenience Store,10,12,19,1,6
"Department, Discount Store",1,NA,1,NA,NA
"Drug Store, Doctors Office, Hospital",1,2,NA,NA,NA
"Field, Woods",1,5,7,3,19
Gambling Facility/Casino/Race Track,NA,NA,1,1,6
"Highway, Road, Street, Alley",60,118,120,17,105
"Hotel, Motel, ETC",10,3,18,1,6
Industrial Site,NA,NA,1,NA,NA
"Jail, Prison",NA,NA,2,NA,NA
"Lake, Waterway",2,1,NA,NA,NA
Liquor Store,NA,1,NA,NA,NA
"Other, Unknown",12,7,15,1,6
Park/Playground,4,2,3,1,6
"Parking Lot, Garage",38,77,79,16,99
"Residence, Home (Includes Apartment)",106,137,143,31,192
Restaurant,2,1,3,1,6
School-Elementary/Secondary,NA,1,NA,1,6
"Service, Gas Station",6,7,7,3,19
Shopping Mall,1,NA,NA,1,6
Speciality Store,2,NA,NA,NA,NA
